color,depressed,dreamy,romantic,healing,joy
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,4,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,3,1,1,1
purple,1,2,1,1,1
purple,1,1,1,1,1
pink,5,5,5,5,5
pink,5,5,5,5,5
pink,5,5,5,5,5
pink,5,5,5,5,5
pink,4,5,5,4,5
pink,4,5,5,4,5
pink,4,5,5,4,5
pink,4,5,5,4,5
pink,4,5,5,4,5
pink,4,4,5,4,5
pink,4,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,5
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,3,4,5,4,4
pink,2,4,5,4,4
pink,2,4,5,4,4
pink,2,4,5,4,4
pink,2,4,5,3,4
